Time,Strain
1126259461.8999023,0.16400083177387298
1126259461.9001465,0.1166254137894994
1126259461.9003906,0.04028269509906754
1126259461.9006348,-0.04274191711970372
1126259461.900879,-0.11312217910169817
1126259461.901123,-0.16082563967056338
1126259461.9013672,-0.18746570710795896
1126259461.9016113,-0.20409800635941203
1126259461.9018555,-0.22552886620617496
1126259461.9020996,-0.26344413075812356
1126259461.9023438,-0.3210590401007835
1126259461.902588,-0.39137577572726795
1126259461.902832,-0.4597228096919567
1126259461.9030762,-0.5095590219264607
1126259461.9033203,-0.5292016987963097
1126259461.9035645,-0.5167064998967932
1126259461.9038086,-0.4807850186078675
1126259461.9040527,-0.43717179204191947
1126259461.9042969,-0.40168378061987653
1126259461.904541,-0.38264781260137676
1126259461.9047852,-0.3758258007776956
1126259461.9050293,-0.3642151956878093
1126259461.9052734,-0.3233664513390236
1126259461.9055176,-0.23074792391694152
1126259461.9057617,-0.07598097391465841
1126259461.9060059,0.1318674656389569
1126259461.90625,0.36300677109140805
1126259461.9064941,0.5728043054552274
1126259461.9067383,0.7134980078479557
1126259461.9069824,0.7482592171015938
1126259461.9072266,0.6630872779598067
1126259461.9074707,0.4725121925396771
1126259461.9077148,0.21698698714291287
1126259461.907959,-0.047464176411233766
1126259461.9082031,-0.26423314910991913
1126259461.9084473,-0.3911196934864464
1126259461.9086914,-0.41072373369614135
1126259461.9089355,-0.3331935541791349
1126259461.9091797,-0.19083163599634478
1126259461.9094238,-0.0267058699040212
1126259461.909668,0.1187472611436845
1126259461.909912,0.21871343093136741
1126259461.9101562,0.2652471295404165
1126259461.9104004,0.26758107681693155
1126259461.9106445,0.2447350485189541
1126259461.9108887,0.2155350859663622
1126259461.9111328,0.18986674686122856
1126259461.911377,0.16435464868052918
1126259461.911621,0.12396157355041777
1126259461.9118652,0.0488516291091024
1126259461.9121094,-0.0760007686394023
1126259461.9123535,-0.2519455094022418
1126259461.9125977,-0.46181663577185994
1126259461.9128418,-0.6711130480436702
1126259461.913086,-0.8352642612847085
1126259461.91333,-0.9110836898559229
1126259461.9135742,-0.8691253798133065
1126259461.9138184,-0.7032645346605577
1126259461.9140625,-0.4345265576506836
1126259461.9143066,-0.1077766348444531
1126259461.9145508,0.21811174456943866
1126259461.914795,0.4841353593159805
1126259461.915039,0.6454289532050479
1126259461.9152832,0.6820879880021242
1126259461.9155273,0.6036045538236572
1126259461.9157715,0.445696430975184
1126259461.9160156,0.26038403407993593
1126259461.9162598,0.10201556681282029
1126259461.916504,0.013037192131959828
1126259461.916748,0.013344451134257987
1126259461.9169922,0.09602578520745843
1126259461.9172363,0.23051195405616495
1126259461.9174805,0.37208487004306146
1126259461.9177246,0.47495480984128985
1126259461.9179688,0.5051731393684218
1126259461.918213,0.4497675439056687
1126259461.918457,0.3196257167664044
1126259461.9187012,0.14547861005180038
1126259461.9189453,-0.031682402990775904
1126259461.9191895,-0.17284840672945767
1126259461.9194336,-0.25227422609974626
1126259461.9196777,-0.2645093248886735
1126259461.9199219,-0.22516209609209245
1126259461.920166,-0.16522288864802626
1126259461.9204102,-0.12065799014781134
1126259461.9206543,-0.12038753808099042
1126259461.9208984,-0.17627794327364715
1126259461.9211426,-0.278255358188662
1126259461.9213867,-0.3962050848188336
1126259461.9216309,-0.48834500222746474
1126259461.921875,-0.513799122995839
1126259461.9221191,-0.4457255516009928
1126259461.9223633,-0.2810097092659378
1126259461.9226074,-0.04338090401481387
1126259461.9228516,0.22133898813528857
1126259461.9230957,0.45680386225772135
1126259461.9233398,0.6113490720966979
1126259461.923584,0.6524221454443562
1126259461.9238281,0.575920350440703
1126259461.9240723,0.4075563115157422
1126259461.9243164,0.19573938205945718
1126259461.9245605,-0.0019753001583261154
1126259461.9248047,-0.1348632378351622
1126259461.9250488,-0.17270156795281114
1126259461.925293,-0.1131429693511806
1126259461.925537,0.019229821064413094
1126259461.9257812,0.18161668879313023
1126259461.9260254,0.3265650121559734
1126259461.9262695,0.4160676733194487
1126259461.9265137,0.4318661162117957
1126259461.9267578,0.378997727722786
1126259461.927002,0.2819001659179458
1126259461.927246,0.17479799376201727
1126259461.9274902,0.08984698785554099
1126259461.9277344,0.04703645486688919
1126259461.9279785,0.04901894246812373
1126259461.9282227,0.08218944327976468
1126259461.9284668,0.12315254816561784
1126259461.928711,0.1479632978467224
1126259461.928955,0.1407812968293964
1126259461.9291992,0.09902639145246545
1126259461.9294434,0.033527573259521215
1126259461.9296875,-0.036038427257638075
1126259461.9299316,-0.08856399383713594
1126259461.9301758,-0.10912290855276513
1126259461.93042,-0.09426438232040274
1126259461.930664,-0.053421868703157814
1126259461.9309082,-0.006210644437155563
1126259461.9311523,0.023357760516315794
1126259461.9313965,0.013923142029931737
1126259461.9316406,-0.046907528294961524
1126259461.9318848,-0.15858283367454146
1126259461.932129,-0.3068374511325036
1126259461.932373,-0.46616661030506
1126259461.9326172,-0.6048678121837228
1126259461.9328613,-0.6915098001423836
1126259461.9331055,-0.7015104115336308
1126259461.9333496,-0.6225762453067264
1126259461.9335938,-0.45800859262107607
1126259461.933838,-0.2272434006118247
1126259461.934082,0.03657950925523856
1126259461.9343262,0.2917606847366184
1126259461.9345703,0.49517479927386066
1126259461.9348145,0.6102493780937203
1126259461.9350586,0.6143485202592907
1126259461.9353027,0.5040467059938996
1126259461.9355469,0.29700389375350933
1126259461.935791,0.02970657563928604
1126259461.9360352,-0.2488395247793076
1126259461.9362793,-0.48644585722268646
1126259461.9365234,-0.6382681284827451
1126259461.9367676,-0.6762231570471803
1126259461.9370117,-0.5950693548684025
1126259461.9372559,-0.41358486556668506
1126259461.9375,-0.17040300434674494
1126259461.9377441,0.0846158662038668
1126259461.9379883,0.3014381951201194
1126259461.9382324,0.4406367313684478
1126259461.9384766,0.48124224161002055
1126259461.9387207,0.4237876492788473
1126259461.9389648,0.28797289912016394
1126259461.939209,0.10586386311693005
1126259461.9394531,-0.08722878052444147
1126259461.9396973,-0.2614445312353938
1126259461.9399414,-0.39813743734042645
1126259461.9401855,-0.4912419575792697
1126259461.9404297,-0.5442877753525797
1126259461.9406738,-0.5646043352213319
1126259461.940918,-0.5572078559640182
1126259461.941162,-0.5209263279266663
1126259461.9414062,-0.4484499307885541
1126259461.9416504,-0.33048271310043287
1126259461.9418945,-0.1625355462848517
